ID,freightOrder_ID,productName,quantity,transportationDemandItem_ID
990e8400-e29b-41d4-a716-446655440001,660e8400-e29b-41d4-a716-446655440001,Samsung Refrigerator,5,880e8400-e29b-41d4-a716-446655440001
990e8400-e29b-41d4-a716-446655440002,660e8400-e29b-41d4-a716-446655440001,LG Washing Machine,3,880e8400-e29b-41d4-a716-446655440002
990e8400-e29b-41d4-a716-446655440003,660e8400-e29b-41d4-a716-446655440002,Dell Laptop,10,880e8400-e29b-41d4-a716-446655440003
990e8400-e29b-41d4-a716-446655440004,660e8400-e29b-41d4-a716-446655440002,ASUS Monitor,15,880e8400-e29b-41d4-a716-446655440004
990e8400-e29b-41d4-a716-446655440005,660e8400-e29b-41d4-a716-446655440003,Office Furniture,20,880e8400-e29b-41d4-a716-446655440005
990e8400-e29b-41d4-a716-446655440006,660e8400-e29b-41d4-a716-446655440003,Office Chairs,30,880e8400-e29b-41d4-a716-446655440006
990e8400-e29b-41d4-a716-446655440007,660e8400-e29b-41d4-a716-446655440004,Car Tires,50,880e8400-e29b-41d4-a716-446655440007
990e8400-e29b-41d4-a716-446655440008,660e8400-e29b-41d4-a716-446655440004,Motor Oil,100,880e8400-e29b-41d4-a716-446655440008
990e8400-e29b-41d4-a716-446655440009,660e8400-e29b-41d4-a716-446655440005,Food Products,200,880e8400-e29b-41d4-a716-446655440009
990e8400-e29b-41d4-a716-446655440010,660e8400-e29b-41d4-a716-446655440005,Household Chemicals,150,880e8400-e29b-41d4-a716-446655440010
